time,close,high,low,open,volumefrom,volumeto
1421798400,0.01523,0.0175,0.01523,0.01748,0,0
1421884800,0.01602,0.0175,0.01523,0.01523,0,0
1421971200,0.016,0.017,0.016,0.01602,0,0
1422057600,0.01739,0.01739,0.015,0.016,0,0
1422144000,0.017,0.01739,0.0156,0.01739,0,0
1422230400,0.01469,0.0175,0.01469,0.017,0,0
1422316800,0.0155,0.017,0.01469,0.01469,0,0
1422403200,0.015,0.0167,0.0131,0.0155,0,0
1422489600,0.0135,0.015,0.0131,0.015,0,0
1422576000,0.015,0.015,0.0135,0.0135,1016.47,16.76
1422662400,0.01499,0.015,0.0135,0.015,1217.22,17.63
1422748800,0.01352,0.01499,0.01351,0.01499,100.73,1.43
1422835200,0.01327,0.015,0.01327,0.015,0,0
1422921600,0.0148,0.015,0.01327,0.01327,0,0
1423008000,0.014,0.0148,0.014,0.0148,0,0
1423094400,0.01573,0.01573,0.013,0.014,0,0
1423180800,0.0155,0.01695,0.014,0.01573,339.16,5.24
1423267200,0.01468,0.0155,0.01401,0.0155,216.69,3.26
1423353600,0.01428,0.01506,0.01428,0.01468,0,0
1423440000,0.0135,0.01467,0.0135,0.01428,0,0
1423526400,0.01464,0.01467,0.011,0.0135,0,0
1423612800,0.01462,0.01464,0.011,0.01464,0,0
1423699200,0.0143,0.01463,0.01101,0.01462,0,0
1423785600,0.01445,0.01472,0.01201,0.0143,0,0
1423872000,0.012,0.01508,0.012,0.01445,0,0
1423958400,0.012,0.012,0.012,0.012,0,0
1424044800,0.01508,0.01509,0.012,0.01509,0,0
1424131200,0.01301,0.01508,0.01202,0.01508,0,0
1424217600,0.01499,0.01499,0.01301,0.01301,0,0
1424304000,0.01307,0.01499,0.01307,0.01499,0,0
1424390400,0.01307,0.01498,0.01307,0.01307,0.2934,0.007334
1424476800,0.01307,0.0141,0.01307,0.01307,1.09,0.02721
1424563200,0.01307,0.01403,0.01307,0.01307,0,0
1424649600,0.01403,0.01403,0.01307,0.01307,0,0
